"ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV13429","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV1936","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV9703","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","DNF00809","NA"
"ASV11475","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV1384","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV2488","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV6275","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV10481","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV474","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV5772","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV14111","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV505","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","anaerobia"
"ASV2377","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV7627","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV6611","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV7675","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV8033","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV4152","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV230","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV8972","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV528","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV6521","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV10530","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV5361","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV1353","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV4174","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV3042","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV9102","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV10341","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV14394","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","NA"
"ASV6171","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV9081","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV10430","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","Raoultibacter","NA"
"ASV3329","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","Raoultibacter","timonensis"
"ASV11580","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","Raoultibacter","NA"
"ASV2721","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","Raoultibacter","massiliensis"
"ASV14292","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","Raoultibacter","massiliensis"
"ASV9928","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","NA","NA"
"ASV1853","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Denitrobacterium","NA"
"ASV10001","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Cryptobacterium","curtum"
"ASV9352","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","NA"
"ASV312","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASV485","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASV11890","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","NA"
"ASV3145","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASV3159","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASV12555","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","NA"
"ASV3634","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","sinensis"
